,,,,"eco-indicator 99, (H,A):ecosystem quality:total","eco-indicator 99, (H,A):human health:total","eco-indicator 99, (H,A):resources:total","eco-indicator 99, (H,A):total:total","ReCiPe Endpoint (H,A):ecosystem quality:total","ReCiPe Endpoint (H,A):human health:total","ReCiPe Endpoint (H,A):resources:total","ReCiPe Endpoint (H,A):total:total",ReCiPe Midpoint (H) V1.13 no LT:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13 no LT:climate change:GWP100,ReCiPe Midpoint (H) V1.13 no LT:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13 no LT:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13 no LT:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13 no LT:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13 no LT:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13 no LT:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13 no LT:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13 no LT:metal depletion:MDP,ReCiPe Midpoint (H) V1.13 no LT:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13 no LT:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13 no LT:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13 no LT:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13 no LT:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13 no LT:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13 no LT:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13 no LT:water depletion:WDP
0,10898,"1,1-difluoroethane, HFC-152a//[RoW] 1,1-difluoroethane production, HFC-152a",CC(F)F,0.029223775,0.18842241,0.096575509,0.31422169,0.098793007,0.22525399,0.15120089,0.47524789,0.2751363,4.8625922,1.2280829,0.002845886,0.000390579,0.39823969,0.36490991,0.004735412,0.000483437,0.1845119,-0.000219295,3.24491E-07,0.009197026,0.011374045,0.027287617,0.000234237,0.02399386,0.11249601
1,10899,1-propanol//[RoW] 1-propanol production,CCCO,0.020063422,0.18491959,0.23220042,0.43718343,0.094041395,0.21073663,0.27899147,0.5837695,0.2325845,4.6122155,2.3096369,0.002793166,0.000253544,0.32013245,0.182468,0.003206007,0.000452383,0.10565356,-0.000237094,3.75756E-07,0.00989845,0.04740918,0.021212684,0.000185679,0.025273835,0.074330366
3,10900,"2,4-dichlorophenol//[RoW] 2,4-dichlorophenol production",C1=CC(=C(C=C1Cl)Cl)O,0.020926499,0.18648717,0.1744991,0.38191277,0.081113318,0.19712883,0.23287919,0.51112134,0.13621335,4.1321657,1.9234807,0.00374591,0.000303985,0.71778446,0.14227491,0.010285136,0.000495768,0.14216402,-0.000252798,1.01554E-06,0.009406004,0.016055545,0.0162065,0.001028062,0.029834324,0.075457949
4,10901,"2,4-dichlorotoluene//[RoW] 2,4-dichlorotoluene production",CC1=C(C=C(C=C1)Cl)Cl,0.014858949,0.12801471,0.15770718,0.30058083,0.059870878,0.14341138,0.18514696,0.38842922,0.090371104,3.082904,1.5593397,0.002069198,0.00019868,0.62085014,0.10691953,0.009099566,0.000383376,0.10002425,-0.000157589,9.60842E-07,0.006441157,0.010206292,0.011691888,0.000948644,0.019193419,0.069542243
5,13950,"2,4-dinitrotoluene//[GLO] 2,4-dinitrotoluene production",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0.023303968,0.093422143,0.15338025,0.27010636,0.042908317,0.1080529,0.15608575,0.30704697,0.054891341,2.2242285,1.3477956,0.002072037,0.000113296,0.1729489,0.060888827,0.002661753,0.002359208,0.081021504,-8.29343E-05,1.29214E-07,0.006706569,0.005548508,0.033234824,0.000156744,0.009131567,0.037018619
6,1355,"2,4-di-tert-butylphenol//[GLO] 2,4-di-tert-butylphenol production",CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,0.011936997,0.11072056,0.21773497,0.34039253,0.062353808,0.13459155,0.23741769,0.43436305,0.072469151,3.3055735,2.02223,0.002545138,0.000159847,0.15364317,0.059099514,0.00195564,0.000251621,0.079811266,-0.00013604,7.9324E-08,0.005237451,0.012644349,0.009848621,9.59012E-05,0.015596794,0.035538916
7,1356,"2,5-dimethylhexane-2,5-dihydroperoxide//[GLO] 2,5-dimethylhexane-2,5-dihydroperoxide production",CC(C)(CCC(C)(C)OO)OO,0.02199594,0.17758115,0.21762958,0.41720667,0.090629806,0.20551279,0.25466007,0.55080266,0.13400778,4.7154809,2.1811016,0.00286151,0.000339922,0.31740248,0.1519028,0.003767691,0.000471083,0.14867256,-0.000215136,1.99379E-07,0.00888393,0.021082359,0.017964087,0.000250346,0.024033697,0.07252066
8,1357,"2,6-di-tert-butylphenol//[GLO] 2,6-di-tert-butylphenol production",CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,0.012334644,0.11463436,0.22717351,0.35414252,0.064765039,0.13968455,0.24739748,0.45184707,0.074568397,3.4353371,2.1078004,0.002642645,0.000164659,0.15791442,0.060769053,0.002013047,0.00026087,0.081761906,-0.000140507,8.16051E-08,0.005427346,0.013170347,0.010212141,9.90964E-05,0.016154867,0.036993602
9,15513,2-butanol//[RoW] 2-butanol production by hydration of butene,CCC(C)O,0.011554392,0.10494838,0.26290982,0.37941259,0.082291409,0.16615185,0.27295391,0.52139716,0.17182075,4.2215747,2.394333,0.002164086,0.000117567,0.17865807,0.030745642,0.001693716,0.000298842,0.049854513,-0.000113053,1.32321E-07,0.005622613,0.010879211,0.014957038,0.000108911,0.012145296,0.22074606
11,10902,2-methyl-2-butanol//[RoW] 2-methyl-2-butanol production,CCC(C)(C)O,0.012105846,0.10113121,0.20643246,0.31966951,0.066352344,0.14076334,0.22774847,0.43486416,0.21508921,3.2032053,1.9498198,0.004292098,0.000125455,0.20774236,0.033490069,0.002314344,0.000283832,0.045072761,-0.000124888,1.71678E-07,0.005762808,0.012626685,0.01572258,0.000148226,0.014329647,0.078717436
