,,,"0,  SMILE","eco-indicator 99, (H,A):ecosystem quality:total","1,  AtomNum_no_H","2,  AtomNum_H","3,  BalabanJ","4,  BertzCT","5,  Ipc","6,  HallKierAlpha","7,  Kappa1","8,  Kappa2","9,  Kappa3","10,  Chi0","11,  Chi0n","12,  Chi0v","13,  Chi1","14,  Chi1n","15,  Chi1v","16,  Chi2n","17,  Chi2v","18,  Chi3n","19,  Chi3v","20,  Chi4n","21,  Chi4v","22,  MolLogP","23,  MolMR","24,  MolWt","25,  ExactMolWt","26,  HeavyAtomCount","27,  HeavyAtomMolWt","28,  NHOHCount","29,  NOCount","30,  NumHAcceptors","31,  NumHDonors","32,  NumHeteroatoms","33,  NumRotatableBonds","34,  NumValenceElectrons","35,  CalcNumAmideBonds","36,  CalcNumAromaticRings","37,  CalcNumRings","38,  CalcNumSaturatedRings","39,  CalcNumAliphaticRings","40,  CalcNumAromaticCarbocycles","41,  CalcNumAromaticHeterocycles","42,  CalcNumHeterocycles","43,  CalcNumSaturatedCarbocycles","44,  CalcNumSaturatedHeterocycles","45,  CalcNumAliphaticCarbocycles","46,  CalcNumAliphaticHeterocycles","47,  RingCount","48,  FractionCSP3","49,  CalcNumSpiroAtoms","50,  CalcNumBridgeheadAtoms","51,  TPSA","52,  LabuteASA","53,  PEOE_VSA1","54,  PEOE_VSA2","55,  PEOE_VSA3","56,  PEOE_VSA4","57,  PEOE_VSA5","58,  PEOE_VSA6","59,  PEOE_VSA7","60,  PEOE_VSA8","61,  PEOE_VSA9","62,  PEOE_VSA10","63,  PEOE_VSA11","64,  PEOE_VSA12","65,  PEOE_VSA13","66,  PEOE_VSA14","67,  SMR_VSA1","68,  SMR_VSA2","69,  SMR_VSA3","70,  SMR_VSA4","71,  SMR_VSA5","72,  SMR_VSA6","73,  SMR_VSA7","74,  SMR_VSA8","75,  SMR_VSA9","76,  SMR_VSA10","77,  SlogP_VSA1","78,  SlogP_VSA2","79,  SlogP_VSA3","80,  SlogP_VSA4","81,  SlogP_VSA5","82,  SlogP_VSA6","83,  SlogP_VSA7","84,  SlogP_VSA8","85,  SlogP_VSA9","86,  SlogP_VSA10","87,  SlogP_VSA11","88,  SlogP_VSA12","89,  EState_VSA1","90,  EState_VSA2","91,  EState_VSA3","92,  EState_VSA4","93,  EState_VSA5","94,  EState_VSA6","95,  EState_VSA7","96,  EState_VSA8","97,  EState_VSA9","98,  EState_VSA10","99,  EState_VSA11","100,  VSA_EState1","101,  VSA_EState2","102,  VSA_EState3","103,  VSA_EState4","104,  VSA_EState5","105,  VSA_EState6","106,  VSA_EState7","107,  VSA_EState8","108,  VSA_EState9","109,  VSA_EState10","110,  CalcPBF","111,  CalcPMI1","112,  CalcPMI2","113,  CalcPMI3","114,  CalcNPR1","115,  CalcNPR2","116,  CalcRadiusOfGyration","117,  CalcInertialShapeFactor","118,  CalcEccentricity","119,  CalcAsphericity","120,  CalcSpherocityIndex","121,  CalcNumHBA","122,  CalcNumHBD","123,  CalcNumLipinskiHBA","124,  CalcNumLipinskiHBD","125,  NumRadicalElectrons"
10898,"1,1-difluoroethane, HFC-152a//[RoW] 1,1-difluoroethane production, HFC-152a",CC(F)F,CC(F)F,0.029223775,4,4,2.323790008,8.754887502,3.245112498,-0.14,3.86,1.20965035,70.18653061,3.577350269,2.333279215,2.333279215,1.732050808,1.01378605,1.01378605,0.51891439,0.51891439,0,0,0,0,1.2714,11.678,66.05,66.02810657,4,62.018,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.43526395,0,0,8.780830095,0,0,0,6.9237372,0,0,0,0,6.425444745,0,0,8.780830095,0,0,0,13.34918194,0,0,0,0,0,0,6.425444745,0,0,6.9237372,0,0,0,0,8.780830095,0,0,6.425444745,0,0,6.9237372,0,0,0,0,0,8.780830095,0,0,0,0,0,0,0,0,20.66666667,-1.333333333,0,0,20.72283871,28.49533188,49.21817059,0.42104041,0.57895959,0.890848504,0.027938238,0.907041881,0.268703851,0,0,0,0,0,0
10899,1-propanol//[RoW] 1-propanol production,CCCO,CCCO,0.020063422,4,8,1.974744871,5.245112498,6.854752972,-0.04,3.96,2.96,1.96,3.414213562,2.861427158,2.861427158,1.914213562,1.523334547,1.523334547,0.723606798,0.723606798,0.223606798,0.223606798,0,0,0.3887,17.3768,60.096,60.05751488,4,52.032,1,1,1,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.23,26.26336901,5.106527395,0,0,0,0,6.9237372,6.420821623,6.606881965,0,0,0,0,0,0,5.106527395,0,0,0,13.34455882,6.606881965,0,0,0,0,0,11.71340936,0,0,13.34455882,0,0,0,0,0,0,0,0,0,6.606881965,6.420821623,0,0,6.9237372,0,5.106527395,0,0,0,0,0,0,0,0,0,0,11,0,0,2.395386836,52.09354665,54.48893348,0.043960979,0.956039021,1.023337512,0.399116755,0.999033249,0.873914767,0,1,1,1,1,0
10900,"2,4-dichlorophenol//[RoW] 2,4-dichlorophenol production",C1=CC(=C(C=C1Cl)Cl)O,Oc1ccc(Cl)cc1Cl,0.020926499,9,4,3.17167803,222.2978871,104.2009193,-0.4,6.71627907,2.460285375,1.501234568,6.853371151,4.435193349,5.947051241,4.198377303,2.339605142,3.095534088,1.595733499,2.439369406,0.909727693,1.447558111,0.481268235,0.889762164,2.699,38.1268,163.003,161.9639201,9,158.971,1,1,1,1,3,0,48,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,20.23,62.83216933,5.106527395,0,0,0,0,23.20187978,18.19910121,5.022633314,5.022633314,5.749511833,0,0,0,0,5.106527395,0,0,0,0,0,28.24436783,0,5.749511833,23.20187978,0,5.106527395,0,0,0,18.19910121,10.04526663,0,0,0,5.749511833,23.20187978,0,10.77214515,5.022633314,0,12.13273414,6.066367068,0,0,28.30840718,0,0,0,0,0,0,0,0,0,0,14.22132716,11.00089506,0,96.84853134,299.0417447,395.890276,0.244634782,0.755365218,1.578077996,0.007799449,0.969615297,0.445634184,0,1,1,1,1,0
10901,"2,4-dichlorotoluene//[RoW] 2,4-dichlorotoluene production",CC1=C(C=C(C=C1)Cl)Cl,Cc1ccc(Cl)cc1Cl,0.014858949,9,6,3.17167803,218.1561776,104.2009193,-0.2,6.913636364,2.590290147,1.601513672,6.853371151,4.987979754,6.499837646,4.198377303,2.615998345,3.371927291,1.89350579,2.737141697,1.133880011,1.77617724,0.567227691,0.97572162,3.30182,41.199,161.031,159.9846556,9,154.983,0,0,0,0,2,0,48,0,1,1,0,0,1,0,0,0,0,0,0,1,0.142857143,0,0,0,64.40287769,0,0,0,0,0,29.26824685,24.61992283,10.04526663,0,0,0,0,0,0,0,0,0,0,6.9237372,0,33.80781932,0,0,23.20187978,0,0,0,6.9237372,5.563451492,18.19910121,10.04526663,0,0,0,0,23.20187978,0,0,5.022633314,10.58608481,0,6.066367068,19.05647134,0,23.20187978,0,0,0,0,0,0,0,0,0,0,9.860216049,11.36200617,0,92.22558574,286.3387197,378.5643055,0.243619339,0.756380661,1.562887794,0.008201419,0.969870928,0.447193131,0,0,0,0,0,0
13950,"2,4-dinitrotoluene//[GLO] 2,4-dinitrotoluene production",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.023303968,13,6,3.267052212,374.7553336,675.8157081,-1.98,9.110744102,3.176550566,1.781539406,10.00807169,6.75947116,6.75947116,6.019744508,3.415544211,3.415544211,2.48500914,2.48500914,1.60023442,1.60023442,0.908044496,0.908044496,1.81142,44.4878,182.135,182.0327567,13,176.087,0,6,4,0,6,2,68,0,1,1,0,0,1,0,0,0,0,0,0,1,0.142857143,0,0,86.28,73.10229668,0,20.22863654,0,0,0,0,12.99010427,11.62981856,15.91298917,0,0,0,11.37477255,0,9.846622098,0,0,0,6.9237372,0,43.99118923,0,0,11.37477255,0,9.846622098,0,27.15237374,5.563451492,18.19910121,0,0,0,11.37477255,0,0,9.846622098,11.37477255,5.563451492,6.066367068,19.05647134,0,0,0,0,20.22863654,0,0,0,0,0,0,0,0,0,45,0,0,156.3743857,468.973245,625.3476307,0.250059932,0.749940068,1.884504189,0.004795799,0.96823036,0.437410113,0,4,0,6,0,0
1355,"2,4-di-tert-butylphenol//[GLO] 2,4-di-tert-butylphenol production",CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.011936997,15,22,3.299357946,350.5819417,1105.096418,-0.98,12.09132668,3.549844105,2.740489656,11.85337115,10.6792644,10.6792644,6.621027034,5.461640669,5.461640669,6.231928248,6.231928248,2.670591973,2.670591973,1.603273163,1.603273163,3.9872,65.5068,206.329,206.1670653,15,184.153,1,1,1,1,1,0,84,0,1,1,0,0,1,0,0,0,0,0,0,1,0.571428571,0,0,20.23,93.14517379,5.106527395,0,0,0,0,53.67515734,28.02325099,0,0,5.749511833,0,0,0,0,5.106527395,0,0,0,52.37240414,0,29.32600419,0,5.749511833,0,0,5.106527395,10.82998094,0,52.66932618,18.19910121,0,0,0,0,5.749511833,0,0,10.82998094,5.749511833,5.563451492,5.563451492,6.066367068,6.066367068,47.60879027,0,5.106527395,0,0,0,0,0,0,0,0,0,31.5,0,0,162.5020497,475.8306196,638.3326694,0.254572666,0.745427334,1.861804762,0.004587187,0.967053648,0.430703728,0,1,1,1,1,0
1356,"2,5-dimethylhexane-2,5-dihydroperoxide//[GLO] 2,5-dimethylhexane-2,5-dihydroperoxide production",CC(C)(CCC(C)(C)OO)OO,CC(C)(CCC(C)(C)OO)OO,0.02199594,12,18,3.820913091,115.01955,262.4341671,-0.16,11.84,4.183204775,4.664118555,9.828427125,8.125137334,8.125137334,5.328427125,3.980503443,3.980503443,4.201959464,4.201959464,1.823371962,1.823371962,0.693349166,0.693349166,2.303,44.8196,178.228,178.1205091,12,160.084,2,4,4,2,4,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.92,72.96799442,0,10.51447079,9.775141907,0,0,0,40.53659204,0,11.20210162,0,0,0,0,0,20.2896127,0,0,0,51.73869367,0,0,0,0,0,0,21.71657241,9.775141907,0,40.53659204,0,0,0,0,0,0,0,11.20210162,0,12.84164325,0,0,27.6949488,0,9.775141907,10.51447079,0,0,0,0,0,0,0,0,0,0,32.5,0,0,51.09851309,593.0375815,644.1360946,0.079328753,0.920671247,2.005925753,0.018017574,0.996848509,0.780892894,0,4,2,4,2,0
1357,"2,6-di-tert-butylphenol//[GLO] 2,6-di-tert-butylphenol production",CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,CCC(C)O,0.012334644,5,10,2.539538861,17.60964047,9.651484454,-0.04,4.96,2.212525253,3.96,4.28445705,3.731670646,3.731670646,2.27005561,1.950904231,1.950904231,1.257269657,1.257269657,0.590822476,0.590822476,0,0,0.7772,21.9718,74.123,74.07316494,5,64.043,1,1,1,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.23,32.62831112,5.106527395,0,0,0,0,6.9237372,13.34455882,0,6.103966388,0,0,0,0,0,5.106527395,0,0,0,26.37226241,0,0,0,0,0,0,11.21049378,0,0,20.26829602,0,0,0,0,0,0,0,0,6.103966388,0,6.420821623,0,6.9237372,6.9237372,0,5.106527395,0,0,0,0,0,0,0,0,0,0,12.83333333,0,0,18.79810027,52.4940959,71.29219617,0.26367683,0.73632317,1.055079447,0.039170084,0.964611077,0.417545922,0,1,1,1,1,0
15513,2-butanol//[RoW] 2-butanol production by hydration of butene,CCC(C)O,CC(C)(C)c1cccc(C(C)(C)C)c1O,0.011554392,15,22,3.368901573,318.3319417,1112.607788,-0.98,12.09132668,3.549844105,2.525803511,11.85337115,10.6792644,10.6792644,6.637863786,5.467623734,5.467623734,6.20174049,6.20174049,2.652049238,2.652049238,1.753927192,1.753927192,3.9872,65.5068,206.329,206.1670653,15,184.153,1,1,1,1,1,0,84,0,1,1,0,0,1,0,0,0,0,0,0,1,0.571428571,0,0,20.23,93.14517379,5.106527395,0,0,0,0,59.7415244,21.95688392,0,0,5.749511833,0,0,0,0,5.106527395,0,0,0,52.37240414,0,29.32600419,0,5.749511833,0,0,5.106527395,10.82998094,0,52.66932618,18.19910121,0,0,0,0,5.749511833,0,0,10.82998094,5.749511833,11.12690298,0,0,18.19910121,41.5424232,0,5.106527395,0,0,0,0,0,0,0,0,0,31.5,0,0,155.5946095,426.3953138,581.9899234,0.267349319,0.732650681,1.777740365,0.004708715,0.963599679,0.412379018,0,1,1,1,1,0
10902,2-methyl-2-butanol//[RoW] 2-methyl-2-butanol production,CCC(C)(C)O,CCC(C)(C)O,0.012105846,6,12,3.168489873,33.69332843,12.16479704,-0.04,5.96,1.605659929,3.96,5.207106781,4.654320377,4.654320377,2.560660172,2.28426697,2.28426697,2.16598765,2.16598765,0.865220664,0.865220664,0,0,1.1673,26.5888,88.15,88.088815,6,76.054,1,1,1,1,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.23,38.99325324,5.106527395,0,0,0,0,6.9237372,20.26829602,0,5.601050811,0,0,0,0,0,5.106527395,0,0,0,32.79308403,0,0,0,0,0,0,10.70757821,0,0,27.19203322,0,0,0,0,0,0,0,5.601050811,0,0,6.420821623,0,13.8474744,6.9237372,0,5.106527395,0,0,0,0,0,0,0,0,0,0,14.75,0,0,24.82664532,59.2274224,84.05406772,0.295365186,0.704634814,1.051279843,0.0283822,0.955384429,0.375626222,0,1,1,1,1,0
